Source_orig,Target_orig,Source,Target
RPHA-1259,RPHA-0590,Sztárai Mihály,István deák
RPHA-1231,RPHA-0590,Barát István,István deák
RPHA-1224,RPHA-0590,Sziráki Balázs,István deák
RPHA-1169,RPHA-0590,Hegyi Pál,István deák
RPHA-1028,RPHA-0590,Varsányi György,István deák
RPHA-0595,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0599,RPHA-0834,Bogáti Fazakas Miklós,Szegedi Lajos
RPHA-0599,RPHA-0639,Bogáti Fazakas Miklós,Batizi András
RPHA-1383,RPHA-0599,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-1353,RPHA-0599,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0548,RPHA-0599,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0604,RPHA-1249,Bogáti Fazakas Miklós,Pataki Névtelen
RPHA-0605,RPHA-1052,Bogáti Fazakas Miklós,Nagybáncsai Mátyás
RPHA-1052,RPHA-0605,Nagybáncsai Mátyás,Bogáti Fazakas Miklós
RPHA-0606,RPHA-1292,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0606,RPHA-0944,Bogáti Fazakas Miklós,Kecskeméti Vég Mihály
RPHA-0613,RPHA-1425,Bogáti Fazakas Miklós,Palatics György
RPHA-0613,RPHA-0692,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-0615,RPHA-1495,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0615,RPHA-1171,Bogáti Fazakas Miklós,Bornemisza Péter
RPHA-1159,RPHA-0615,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0619,RPHA-1381,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0619,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0620,RPHA-1283,Bogáti Fazakas Miklós,Sztárai Mihály
RPHA-0620,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0623,RPHA-1175,Debreceni S János,Lakatos Péter
RPHA-0948,RPHA-0626,Szkhárosi Horvát András,Batizi András
RPHA-0915,RPHA-0626,Nagybáncsai Mátyás,Batizi András
RPHA-0708,RPHA-0626,Bogáti Fazakas Miklós,Batizi András
RPHA-0627,RPHA-0844,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0627,RPHA-0692,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-0638,RPHA-1439,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0639,RPHA-0834,Batizi András,Szegedi Lajos
RPHA-0834,RPHA-0639,Szegedi Lajos,Batizi András
RPHA-0276,RPHA-0639,Frankovics Gergely,Batizi András
RPHA-0640,RPHA-0990,Batizi András,Melius Juhász Péter
RPHA-0654,RPHA-1219,Batizi András,Szkhárosi Horvát András
RPHA-0731,RPHA-0654,Szegedi Gergely,Batizi András
RPHA-0819,RPHA-0662,Temesvári János,Székely Balázs
RPHA-1298,RPHA-0668,Szegedi Gergely,Bereki István
RPHA-1295,RPHA-0668,Sztárai Mihály,Bereki István
RPHA-1209,RPHA-0668,Skarica Máté,Bereki István
RPHA-1024,RPHA-0668,Szegedi Gergely,Bereki István
RPHA-0983,RPHA-0668,Sztárai Mihály,Bereki István
RPHA-0932,RPHA-0668,Sztárai Mihály,Bereki István
RPHA-0878,RPHA-0668,Sztárai Mihály,Bereki István
RPHA-0877,RPHA-0668,Bogáti Fazakas Miklós,Bereki István
RPHA-0869,RPHA-0668,Sztárai Mihály,Bereki István
RPHA-0863,RPHA-0668,Sztárai Mihály,Bereki István
RPHA-0688,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0689,RPHA-0958,Bogáti Fazakas Miklós,Dézsi András
RPHA-0689,RPHA-0707,Bogáti Fazakas Miklós,Nagybáncsai Mátyás
RPHA-2016,RPHA-0692,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-1493,RPHA-0692,Cserényi Mihály,Ilosvai Selymes Péter
RPHA-1271,RPHA-0692,Ádám János,Ilosvai Selymes Péter
RPHA-1270,RPHA-0692,Valkai András,Ilosvai Selymes Péter
RPHA-1246,RPHA-0692,Szakmári Fabricius István,Ilosvai Selymes Péter
RPHA-1076,RPHA-0692,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-0878,RPHA-0692,Sztárai Mihály,Ilosvai Selymes Péter
RPHA-0852,RPHA-0692,Bornemisza Miklós,Ilosvai Selymes Péter
RPHA-0743a,RPHA-0692,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-0743,RPHA-0692,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-0725,RPHA-0692,Bogáti Fazakas Miklós,Ilosvai Selymes Péter
RPHA-0332a,RPHA-0692,Huszti Péter,Ilosvai Selymes Péter
RPHA-0693,RPHA-1249,Bogáti Fazakas Miklós,Pataki Névtelen
RPHA-1422,RPHA-0707,Eössi András,Nagybáncsai Mátyás
RPHA-1365,RPHA-0707,Bogáti Fazakas Miklós,Nagybáncsai Mátyás
RPHA-1302,RPHA-0707,Tőke Ferenc,Nagybáncsai Mátyás
RPHA-1250,RPHA-0707,Kákonyi Péter,Nagybáncsai Mátyás
RPHA-1181,RPHA-0707,Bogáti Fazakas Miklós,Nagybáncsai Mátyás
RPHA-1177,RPHA-0707,Békési Péter,Nagybáncsai Mátyás
RPHA-0708,RPHA-0834,Bogáti Fazakas Miklós,Szegedi Lajos
